dataset,region,main_category,middle_category,sub_category,keyword
SURVEY1,서울,도시/지역발전,주거,시설계획,그린서울
SURVEY1,서울,도시/지역발전,주거,시설계획,도심차량기지 이전
SURVEY1,서울,도시/지역발전,주거,시설계획,용산공원
SURVEY1,서울,도시/지역발전,주거,시설계획,전기자동차 충전인프라 확충
SURVEY1,서울,도시/지역발전,주거,주거재생,신규주택 공급
SURVEY1,서울,도시/지역발전,주거,주거재생,장기전세주택
SURVEY1,서울,도시/지역발전,주거,주거재생,저소득층 공공임대주택
SURVEY1,서울,도시/지역발전,주거,주거재생,청년맞춤형 주택
SURVEY1,서울,도시/지역발전,주거,주거재생,탄소제로공공임대주택
SURVEY1,서울,도시/지역발전,주거,토지관리,도시농업 활성화
SURVEY1,서울,도시/지역발전,주거,토지관리,도시재생뉴딜
SURVEY1,서울,도시/지역발전,주거,토지관리,부동산 투기 근절
SURVEY1,서울,도시/지역발전,주거,토지관리,임대료 상한제
SURVEY1,서울,도시/지역발전,주거,토지관리,재건축·재개발사업
SURVEY1,서울,도시/지역발전,도로/교통,대중교통,광역버스 확충
SURVEY1,서울,도시/지역발전,도로/교통,대중교통,마을버스 공영제
SURVEY1,서울,도시/지역발전,도로/교통,대중교통,전국대중교통 통합연계교통망
SURVEY1,서울,도시/지역발전,도로/교통,대중교통,택시 준대중교통 인정
SURVEY1,서울,도시/지역발전,도로/교통,대중교통,택시호출플랫폼 공정화
SURVEY1,서울,도시/지역발전,도로/교통,도로/건설,간선도로 상습정체 해결
SURVEY1,서울,도시/지역발전,도로/교통,도로/건설,강남순환로 요금인하
SURVEY1,서울,도시/지역발전,도로/교통,도로/건설,인접지역 접근성 향상
SURVEY1,서울,도시/지역발전,도로/교통,철도,경전철
SURVEY1,서울,도시/지역발전,도로/교통,철도,신분당선 연장
SURVEY1,서울,도시/지역발전,도로/교통,철도,열차 내 혼잡
SURVEY1,서울,도시/지역발전,도로/교통,철도,지하철 급행노선 확대
SURVEY1,서울,도시/지역발전,도로/교통,철도,철도도로 지하화·데크화
