subSgName,sggname,doc_type,count
"광역의원비례대표선거","경기도","비례대표 정당 제출자료","20"
"광역의원비례대표선거","서울특별시","비례대표 정당 제출자료","19"
"구·시·군의 장선거","동구","선거공약서","13"
"광역의원비례대표선거","인천광역시","비례대표 정당 제출자료","12"
"광역의원비례대표선거","경상북도","비례대표 정당 제출자료","10"
"구·시·군의 장선거","북구","선거공약서","10"
"구·시·군의 장선거","서구","선거공약서","10"
"광역의원비례대표선거","경상남도","비례대표 정당 제출자료","9"
"광역의원비례대표선거","대구광역시","비례대표 정당 제출자료","9"
"광역의원비례대표선거","부산광역시","비례대표 정당 제출자료","9"
"구·시·군의 장선거","중구","선거공약서","9"
"구·시·군의회의원선거","서구가선거구","선거공보","9"
"구·시·군의회의원선거","서구나선거구","선거공보","9"
"구·시·군의 장선거","남구","선거공약서","8"
"구·시·군의회의원선거","북구다선거구","선거공보","8"
"광역의원비례대표선거","강원특별자치도","비례대표 정당 제출자료","7"
"광역의원비례대표선거","울산광역시","비례대표 정당 제출자료","7"
"광역의원비례대표선거","전남광주통합특별시","비례대표 정당 제출자료","7"
"광역의원비례대표선거","전북특별자치도","비례대표 정당 제출자료","7"
"광역의원비례대표선거","제주특별자치도","비례대표 정당 제출자료","7"
"교육감선거","서울특별시","선거공약서","7"
"구·시·군의회의원선거","나주시마선거구","선거공보","7"
"구·시·군의회의원선거","북구가선거구","선거공보","7"
"구·시·군의회의원선거","북구라선거구","선거공보","7"
"기초의원비례대표선거","창원시","비례대표 정당 제출자료","7"
"광역의원비례대표선거","대전광역시","비례대표 정당 제출자료","6"
"광역의원비례대표선거","세종특별자치시","비례대표 정당 제출자료","6"
"광역의원비례대표선거","충청남도","비례대표 정당 제출자료","6"
"광역의원비례대표선거","충청북도","비례대표 정당 제출자료","6"
"구·시·군의 장선거","강서구","선거공약서","6"
"구·시·군의 장선거","고성군","선거공약서","6"
"구·시·군의 장선거","구례군","선거공약서","6"
"구·시·군의회의원선거","서구라선거구","선거공보","6"
"구·시·군의회의원선거","수원시다선거구","선거공보","6"
"시·도지사선거","서울특별시","선거공약서","6"
"구·시·군의 장선거","가평군","선거공약서","5"
