subSgName,sggname,doc_type,count
"구·시·군의회의원선거","양양군나선거구","선거공보","6"
"구·시·군의회의원선거","용인시라선거구","선거공보","6"
"구·시·군의회의원선거","전주시다선거구","선거공보","6"
"구·시·군의회의원선거","전주시바선거구","선거공보","6"
"구·시·군의회의원선거","고양시아선거구","선거공보","5"
"구·시·군의회의원선거","양구군나선거구","선거공보","5"
"구·시·군의회의원선거","용인시차선거구","선거공보","5"
"구·시·군의회의원선거","용인시카선거구","선거공보","5"
"구·시·군의회의원선거","의왕시가선거구","선거공보","5"
"구·시·군의회의원선거","의왕시나선거구","선거공보","5"
"구·시·군의회의원선거","전주시나선거구","선거공보","5"
"구·시·군의회의원선거","안양시다선거구","선거공보","4"
"구·시·군의회의원선거","양양군가선거구","선거공보","4"
"구·시·군의회의원선거","전주시가선거구","선거공보","4"
"구·시·군의회의원선거","홍천군가선거구","선거공보","4"
"구·시·군의 장선거","양양군","선거공보","3"
"구·시·군의 장선거","정읍시","선거공보","3"
"구·시·군의회의원선거","안양시가선거구","선거공보","3"
"구·시·군의회의원선거","안양시라선거구","선거공보","3"
"구·시·군의회의원선거","용인시바선거구","선거공보","3"
"구·시·군의회의원선거","전주시라선거구","선거공보","3"
"구·시·군의회의원선거","전주시마선거구","선거공보","3"
"구·시·군의회의원선거","전주시사선거구","선거공보","3"
"구·시·군의회의원선거","평택시라선거구","선거공보","3"
"시·도의회의원선거","양양군선거구","선거공보","3"
"구·시·군의회의원선거","평택시가선거구","선거공보","2"
"시·도의회의원선거","고양시제7선거구","선거공보","2"
"시·도의회의원선거","고양시제9선거구","선거공보","2"
"시·도의회의원선거","수원시제5선거구","선거공보","2"
"시·도의회의원선거","안양시제1선거구","선거공보","2"
"시·도의회의원선거","안양시제2선거구","선거공보","2"
"시·도의회의원선거","용인시제10선거구","선거공보","2"
"시·도의회의원선거","용인시제4선거구","선거공보","2"
"시·도의회의원선거","용인시제5선거구","선거공보","2"
"시·도의회의원선거","용인시제9선거구","선거공보","2"
"시·도의회의원선거","의왕시제1선거구","선거공보","2"
"시·도의회의원선거","의왕시제2선거구","선거공보","2"
"시·도의회의원선거","전주시제7선거구","선거공보","2"
"시·도의회의원선거","철원군제2선거구","선거공보","2"
"시·도의회의원선거","춘천시제1선거구","선거공보","2"
"교육감선거","서울특별시","선거공약서","1"
"구·시·군의 장선거","고창군","선거공약서","1"
"구·시·군의 장선거","수원시","선거공보","1"
"구·시·군의 장선거","양양군","선거공약서","1"
"구·시·군의 장선거","평택시","선거공보","1"
"구·시·군의회의원선거","고양시사선거구","선거공보","1"
"구·시·군의회의원선거","수원시바선거구","선거공보","1"
"구·시·군의회의원선거","수원시사선거구","선거공보","1"
"구·시·군의회의원선거","춘천시마선거구","선거공보","1"
"구·시·군의회의원선거","평창군나선거구","선거공보","1"
"구·시·군의회의원선거","평택시나선거구","선거공보","1"
"구·시·군의회의원선거","홍천군나선거구","선거공보","1"
"시·도의회의원선거","고양시제8선거구","선거공보","1"
"시·도의회의원선거","성남시제3선거구","선거공보","1"
"시·도의회의원선거","전주시제3선거구","선거공보","1"
"시·도의회의원선거","춘천시제2선거구","선거공보","1"
"시·도의회의원선거","평택시제1선거구","선거공보","1"
"시·도의회의원선거","평택시제2선거구","선거공보","1"
"시·도의회의원선거","홍천군제1선거구","선거공보","1"
