province_id,province_name,subSgName,doc_type,count
"4100","경기도","구·시·군의회의원선거","선거공보","138"
"1100","서울특별시","구·시·군의회의원선거","선거공보","125"
"2600","부산광역시","구·시·군의회의원선거","선거공보","74"
"5300","전북특별자치도","구·시·군의회의원선거","선거공보","71"
"4100","경기도","구·시·군의 장선거","선거공약서","65"
"4600","전라남도","구·시·군의 장선거","선거공약서","60"
"1100","서울특별시","구·시·군의 장선거","선거공약서","56"
"4600","전라남도","구·시·군의회의원선거","선거공보","56"
"4700","경상북도","구·시·군의 장선거","선거공약서","55"
"4800","경상남도","구·시·군의 장선거","선거공약서","48"
"5200","강원특별자치도","구·시·군의 장선거","선거공약서","43"
"5300","전북특별자치도","구·시·군의 장선거","선거공약서","38"
"2600","부산광역시","구·시·군의 장선거","선거공약서","37"
"4400","충청남도","구·시·군의 장선거","선거공약서","36"
"5300","전북특별자치도","시·도의회의원선거","선거공보","35"
"4100","경기도","시·도의회의원선거","선거공보","32"
"4700","경상북도","구·시·군의회의원선거","선거공보","31"
"4700","경상북도","시·도의회의원선거","선거공보","28"
"2900","광주광역시","구·시·군의회의원선거","선거공보","26"
"4100","경기도","기초의원비례대표선거","비례대표 정당 제출자료","26"
"2800","인천광역시","구·시·군의 장선거","선거공약서","24"
"2800","인천광역시","구·시·군의회의원선거","선거공보","23"
"4300","충청북도","구·시·군의 장선거","선거공약서","23"
"4700","경상북도","기초의원비례대표선거","비례대표 정당 제출자료","22"
"4800","경상남도","구·시·군의회의원선거","선거공보","22"
"1100","서울특별시","시·도의회의원선거","선거공보","20"
"2700","대구광역시","구·시·군의 장선거","선거공약서","20"
"4600","전라남도","기초의원비례대표선거","비례대표 정당 제출자료","20"
"4800","경상남도","기초의원비례대표선거","비례대표 정당 제출자료","18"
"2600","부산광역시","시·도의회의원선거","선거공보","17"
"5200","강원특별자치도","구·시·군의회의원선거","선거공보","17"
"1100","서울특별시","기초의원비례대표선거","비례대표 정당 제출자료","15"
"2600","부산광역시","기초의원비례대표선거","비례대표 정당 제출자료","14"
"4300","충청북도","구·시·군의회의원선거","선거공보","14"
"5300","전북특별자치도","기초의원비례대표선거","비례대표 정당 제출자료","14"
"2700","대구광역시","기초의원비례대표선거","비례대표 정당 제출자료","13"
"4400","충청남도","구·시·군의회의원선거","선거공보","13"
"3100","울산광역시","구·시·군의 장선거","선거공약서","12"
"2700","대구광역시","구·시·군의회의원선거","선거공보","11"
"2900","전남광주통합특별시","시·도의회의원선거","선거공보","11"
"2900","광주광역시","구·시·군의 장선거","선거공약서","10"
"3000","대전광역시","구·시·군의회의원선거","선거공보","10"
"2800","인천광역시","기초의원비례대표선거","비례대표 정당 제출자료","9"
"3000","대전광역시","구·시·군의 장선거","선거공약서","8"
"4900","제주특별자치도","시·도의회의원선거","선거공보","8"
"5200","강원특별자치도","기초의원비례대표선거","비례대표 정당 제출자료","8"
"1100","서울특별시","교육감선거","선거공약서","7"
"1100","서울특별시","시·도지사선거","선거공약서","6"
"4800","경상남도","시·도의회의원선거","선거공보","6"
"5200","강원특별자치도","시·도의회의원선거","선거공보","6"
"1100","서울특별시","구·시·군의 장선거","선거공보","5"
"2900","전남광주통합특별시","시·도지사선거","선거공약서","5"
"5300","전북특별자치도","시·도지사선거","선거공약서","5"
"3100","울산광역시","시·도지사선거","선거공약서","4"
"4100","경기도","구·시·군의 장선거","선거공보","4"
"4100","경기도","시·도지사선거","선거공약서","4"
"4400","충청남도","교육감선거","선거공약서","4"
"4400","충청남도","기초의원비례대표선거","비례대표 정당 제출자료","4"
"5100","세종특별자치시","교육감선거","선거공약서","4"
"1100","서울특별시","광역의원비례대표선거","비례대표 정당 제출자료","3"
"2600","부산광역시","광역의원비례대표선거","비례대표 정당 제출자료","3"
"2600","부산광역시","교육감선거","선거공약서","3"
"2600","부산광역시","시·도지사선거","선거공약서","3"
"2700","대구광역시","교육감선거","선거공약서","3"
"2800","인천광역시","교육감선거","선거공약서","3"
"2900","광주광역시","구·시·군의 장선거","5대공약","3"
"2900","전남광주통합특별시","교육감선거","선거공약서","3"
"3000","대전광역시","교육감선거","선거공약서","3"
"3100","울산광역시","구·시·군의회의원선거","선거공보","3"
"4100","경기도","광역의원비례대표선거","비례대표 정당 제출자료","3"
"4300","충청북도","교육감선거","선거공약서","3"
"4800","경상남도","교육감선거","선거공약서","3"
"4800","경상남도","시·도지사선거","선거공약서","3"
"4900","제주특별자치도","교육감선거","선거공약서","3"
"4900","제주특별자치도","시·도지사선거","선거공약서","3"
"2700","대구광역시","광역의원비례대표선거","비례대표 정당 제출자료","2"
"2700","대구광역시","시·도지사선거","선거공약서","2"
"2800","인천광역시","광역의원비례대표선거","비례대표 정당 제출자료","2"
"2800","인천광역시","시·도의회의원선거","선거공보","2"
"2800","인천광역시","시·도지사선거","선거공약서","2"
"2900","광주광역시","구·시·군의 장선거","선거공보","2"
"3000","대전광역시","시·도지사선거","선거공약서","2"
"3100","울산광역시","교육감선거","선거공약서","2"
"4100","경기도","교육감선거","선거공약서","2"
"4100","경기도","구·시·군의 장선거","5대공약","2"
"4300","충청북도","시·도지사선거","선거공약서","2"
"4400","충청남도","시·도의회의원선거","선거공보","2"
"4700","경상북도","구·시·군의 장선거","5대공약","2"
"4700","경상북도","구·시·군의 장선거","선거공보","2"
"4700","경상북도","시·도지사선거","선거공약서","2"
"5100","세종특별자치시","시·도지사선거","선거공약서","2"
