region_dir,province_id,province_name,current_missing_targets,structured_records_written_by_agent,external_official_documents_recovered,stale_nec_documents_recovered,stale_markdown_ok,stale_markdown_empty,no_unofficial_sources_accepted
"1100_서울특별시","1100","서울특별시","237","0","0","56","56","0","true"
"2600_부산광역시","2600","부산광역시","152","0","0","24","24","0","true"
"2700_대구광역시","2700","대구광역시","52","0","0","12","12","0","true"
"2800_인천광역시","2800","인천광역시","65","0","0","22","22","0","true"
"2900_광주광역시","2900","광주광역시","42","42","0","12","12","0","true"
"2900_전남광주통합특별시","2900","전남광주통합특별시","20","20","0","6","6","0","true"
"3000_대전광역시","3000","대전광역시","24","24","0","16","16","0","true"
"3100_울산광역시","3100","울산광역시","22","0","0","19","19","0","true"
"4100_경기도","4100","경기도","276","0","0","147","147","0","true"
"4300_충청북도","4300","충청북도","45","45","0","29","29","0","true"
"4400_충청남도","4400","충청남도","61","61","0","34","34","0","true"
"4600_전라남도","4600","전라남도","136","136","0","15","15","0","true"
"4700_경상북도","4700","경상북도","142","0","0","23","23","0","true"
"4800_경상남도","4800","경상남도","100","0","0","40","40","0","true"
"4900_제주특별자치도","4900","제주특별자치도","14","14","0","7","7","0","true"
"5100_세종특별자치시","5100","세종특별자치시","6","6","0","6","6","0","true"
"5200_강원특별자치도","5200","강원특별자치도","80","80","0","70","70","0","true"
"5300_전북특별자치도","5300","전북특별자치도","171","0","0","58","57","1","true"
