subSgName,sggname,doc_type,count
"교육감선거","서울특별시","선거공약서","7"
"시·도지사선거","서울특별시","선거공약서","6"
"구·시·군의회의원선거","성동구다선거구","선거공보","5"
"구·시·군의 장선거","강북구","선거공약서","4"
"구·시·군의 장선거","강서구","선거공약서","4"
"구·시·군의회의원선거","성동구라선거구","선거공보","4"
"광역의원비례대표선거","서울특별시","비례대표 정당 제출자료","3"
"구·시·군의 장선거","강동구","선거공약서","3"
"구·시·군의 장선거","동작구","선거공약서","3"
"구·시·군의 장선거","성동구","선거공보","3"
"구·시·군의 장선거","성동구","선거공약서","3"
"구·시·군의 장선거","성북구","선거공약서","3"
"구·시·군의 장선거","중구","선거공약서","3"
"구·시·군의회의원선거","강북구라선거구","선거공보","3"
"구·시·군의회의원선거","강서구라선거구","선거공보","3"
"구·시·군의회의원선거","노원구다선거구","선거공보","3"
"구·시·군의회의원선거","노원구라선거구","선거공보","3"
"구·시·군의회의원선거","동작구나선거구","선거공보","3"
"구·시·군의회의원선거","동작구마선거구","선거공보","3"
"구·시·군의회의원선거","서대문구라선거구","선거공보","3"
"구·시·군의회의원선거","성동구가선거구","선거공보","3"
"구·시·군의회의원선거","성북구다선거구","선거공보","3"
"구·시·군의회의원선거","성북구마선거구","선거공보","3"
"구·시·군의회의원선거","종로구라선거구","선거공보","3"
"시·도의회의원선거","성동구제1선거구","선거공보","3"
"시·도의회의원선거","성동구제2선거구","선거공보","3"
"구·시·군의 장선거","강남구","선거공약서","2"
"구·시·군의 장선거","광진구","선거공약서","2"
"구·시·군의 장선거","구로구","선거공약서","2"
"구·시·군의 장선거","금천구","선거공약서","2"
"구·시·군의 장선거","노원구","선거공약서","2"
"구·시·군의 장선거","도봉구","선거공약서","2"
"구·시·군의 장선거","동대문구","선거공약서","2"
"구·시·군의 장선거","동작구","선거공보","2"
"구·시·군의 장선거","마포구","선거공약서","2"
"구·시·군의 장선거","서대문구","선거공약서","2"
"구·시·군의 장선거","서초구","선거공약서","2"
"구·시·군의 장선거","송파구","선거공약서","2"
"구·시·군의 장선거","영등포구","선거공약서","2"
"구·시·군의 장선거","용산구","선거공약서","2"
"구·시·군의 장선거","은평구","선거공약서","2"
"구·시·군의 장선거","종로구","선거공약서","2"
"구·시·군의회의원선거","강남구바선거구","선거공보","2"
"구·시·군의회의원선거","강남구아선거구","선거공보","2"
"구·시·군의회의원선거","강동구다선거구","선거공보","2"
"구·시·군의회의원선거","강서구가선거구","선거공보","2"
"구·시·군의회의원선거","구로구라선거구","선거공보","2"
"구·시·군의회의원선거","구로구마선거구","선거공보","2"
"구·시·군의회의원선거","금천구가선거구","선거공보","2"
"구·시·군의회의원선거","금천구나선거구","선거공보","2"
"구·시·군의회의원선거","도봉구마선거구","선거공보","2"
"구·시·군의회의원선거","동작구라선거구","선거공보","2"
"구·시·군의회의원선거","동작구바선거구","선거공보","2"
"구·시·군의회의원선거","마포구가선거구","선거공보","2"
