subSgName,sggname,doc_type,count
"교육감선거","대구광역시","선거공약서","3"
"구·시·군의 장선거","달서구","선거공약서","3"
"구·시·군의 장선거","동구","선거공약서","3"
"구·시·군의회의원선거","북구다선거구","선거공보","3"
"광역의원비례대표선거","대구광역시","비례대표 정당 제출자료","2"
"구·시·군의 장선거","군위군","선거공약서","2"
"구·시·군의 장선거","남구","선거공약서","2"
"구·시·군의 장선거","달성군","선거공약서","2"
"구·시·군의 장선거","북구","선거공약서","2"
"구·시·군의 장선거","서구","선거공약서","2"
"구·시·군의 장선거","수성구","선거공약서","2"
"구·시·군의 장선거","중구","선거공약서","2"
"구·시·군의회의원선거","달서구가선거구","선거공보","2"
"구·시·군의회의원선거","달서구나선거구","선거공보","2"
"구·시·군의회의원선거","북구가선거구","선거공보","2"
"구·시·군의회의원선거","북구라선거구","선거공보","2"
"기초의원비례대표선거","달서구","비례대표 정당 제출자료","2"
"기초의원비례대표선거","달성군","비례대표 정당 제출자료","2"
"기초의원비례대표선거","북구","비례대표 정당 제출자료","2"
"기초의원비례대표선거","수성구","비례대표 정당 제출자료","2"
"시·도지사선거","대구광역시","선거공약서","2"
"기초의원비례대표선거","군위군","비례대표 정당 제출자료","1"
"기초의원비례대표선거","남구","비례대표 정당 제출자료","1"
"기초의원비례대표선거","동구","비례대표 정당 제출자료","1"
"기초의원비례대표선거","서구","비례대표 정당 제출자료","1"
"기초의원비례대표선거","중구","비례대표 정당 제출자료","1"
"시·도의회의원선거","동구제2선거구","선거공보","1"
