subSgName,sggname,doc_type,count
"교육감선거","인천광역시","선거공약서","3"
"구·시·군의 장선거","서구","선거공약서","3"
"구·시·군의 장선거","영종구","선거공약서","3"
"구·시·군의회의원선거","미추홀구가선거구","선거공보","3"
"구·시·군의회의원선거","부평구나선거구","선거공보","3"
"구·시·군의회의원선거","부평구다선거구","선거공보","3"
"구·시·군의회의원선거","부평구바선거구","선거공보","3"
"광역의원비례대표선거","인천광역시","비례대표 정당 제출자료","2"
"구·시·군의 장선거","강화군","선거공약서","2"
"구·시·군의 장선거","검단구","선거공약서","2"
"구·시·군의 장선거","계양구","선거공약서","2"
"구·시·군의 장선거","남동구","선거공약서","2"
"구·시·군의 장선거","미추홀구","선거공약서","2"
"구·시·군의 장선거","부평구","선거공약서","2"
"구·시·군의 장선거","연수구","선거공약서","2"
"구·시·군의 장선거","옹진군","선거공약서","2"
"구·시·군의 장선거","제물포구","선거공약서","2"
"구·시·군의회의원선거","계양구다선거구","선거공보","2"
"구·시·군의회의원선거","부평구가선거구","선거공보","2"
"구·시·군의회의원선거","부평구마선거구","선거공보","2"
"구·시·군의회의원선거","연수구마선거구","선거공보","2"
"구·시·군의회의원선거","영종구가선거구","선거공보","2"
"기초의원비례대표선거","남동구","비례대표 정당 제출자료","2"
"기초의원비례대표선거","미추홀구","비례대표 정당 제출자료","2"
"기초의원비례대표선거","서구","비례대표 정당 제출자료","2"
"기초의원비례대표선거","연수구","비례대표 정당 제출자료","2"
"시·도지사선거","인천광역시","선거공약서","2"
"구·시·군의회의원선거","미추홀구다선거구","선거공보","1"
"기초의원비례대표선거","검단구","비례대표 정당 제출자료","1"
"시·도의회의원선거","부평구제5선거구","선거공보","1"
"시·도의회의원선거","부평구제6선거구","선거공보","1"
