subSgName,sggname,doc_type,count
"구·시·군의회의원선거","서구라선거구","선거공보","6"
"구·시·군의회의원선거","서구가선거구","선거공보","5"
"구·시·군의회의원선거","서구나선거구","선거공보","5"
"구·시·군의 장선거","북구","선거공약서","4"
"구·시·군의회의원선거","서구다선거구","선거공보","4"
"구·시·군의회의원선거","광산구라선거구","선거공보","3"
"구·시·군의회의원선거","북구다선거구","선거공보","3"
"구·시·군의 장선거","광산구","선거공약서","2"
"구·시·군의 장선거","동구","선거공약서","2"
"구·시·군의 장선거","남구","5대공약","1"
"구·시·군의 장선거","남구","선거공보","1"
"구·시·군의 장선거","남구","선거공약서","1"
"구·시·군의 장선거","북구","5대공약","1"
"구·시·군의 장선거","서구","5대공약","1"
"구·시·군의 장선거","서구","선거공보","1"
"구·시·군의 장선거","서구","선거공약서","1"
"기초의원비례대표선거","동구","비례대표 정당 제출자료","1"
