record_id,election_name,province_id,province_name,province_source,subSgId,subSgName,sgTypecode,sggid,sggname,hbjname,huboid,jdname,jdid,hbjgiho,hbjjikup,hbjhakruk,doc_index,doc_type,doc_type_raw,source_id,original_available,original_url,current_available,current_pdf_path,current_pdf_path_source,current_download_url,classification,raw_fileinfo,filePathName,updtFileName,fileTypeName,fileDispYn,pdfPrvwYn,recovery_status
"420260603-2900-동구-100158729-2-선거공약서","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290100","동구","임택","100158729","더불어민주당","100","1","정무직 공무원","전남대학교 일반대학원 정치학과 박사과정 수료","2","선거공약서","선거공약서","candidate-doc:100158729:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-2900-동구-100162102-2-선거공약서","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290100","동구","김성환","100162102","조국혁신당","5077","3","정당인","영국 셰필드대학교 정치학과 졸업(정치학박사) (2000.1.1.~2008.4.9)","2","선거공약서","선거공약서","candidate-doc:100162102:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-2900-서구-100163972-1-선거공보","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290200","서구","김이강","100163972","더불어민주당","100","1","서구청장","전남대학교 경영대학원 경영학과 졸업(경영학 석사)","1","선거공보","선거공보","candidate-doc:100163972:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"420260603-2900-서구-100163972-2-선거공약서","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290200","서구","김이강","100163972","더불어민주당","100","1","서구청장","전남대학교 경영대학원 경영학과 졸업(경영학 석사)","2","선거공약서","선거공약서","candidate-doc:100163972:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"420260603-2900-서구-100163972-3-5대공약","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290200","서구","김이강","100163972","더불어민주당","100","1","서구청장","전남대학교 경영대학원 경영학과 졸업(경영학 석사)","3","5대공약","5대공약","candidate-doc:100163972:3","false","","false","","","","current_unavailable_official_source","5대공약||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"420260603-2900-남구-100158111-1-선거공보","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290300","남구","김병내","100158111","더불어민주당","100","1","(현) 남구청장","고려대학교 대학원 북한학과 박사과정 수료","1","선거공보","선거공보","candidate-doc:100158111:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"420260603-2900-남구-100158111-2-선거공약서","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290300","남구","김병내","100158111","더불어민주당","100","1","(현) 남구청장","고려대학교 대학원 북한학과 박사과정 수료","2","선거공약서","선거공약서","candidate-doc:100158111:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"420260603-2900-남구-100158111-3-5대공약","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290300","남구","김병내","100158111","더불어민주당","100","1","(현) 남구청장","고려대학교 대학원 북한학과 박사과정 수료","3","5대공약","5대공약","candidate-doc:100158111:3","false","","false","","","","current_unavailable_official_source","5대공약||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"420260603-2900-북구-100158994-2-선거공약서","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290400","북구","신수정","100158994","더불어민주당","100","1","정당인","전남대학교 정책대학원 졸업(정책학석사)","2","선거공약서","선거공약서","candidate-doc:100158994:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-2900-북구-100154186-2-선거공약서","제9회 전국동시지방선거","2900","광주광역시","nec_region_scope","420260603","구·시·군의 장선거","4","4290400","북구","김주업","100154186","진보당","5010","5","정당인","전남대학교 행정학과 졸업","2","선거공약서","선거공약서","candidate-doc:100154186:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
