record_id,election_name,province_id,province_name,province_source,subSgId,subSgName,sgTypecode,sggid,sggname,hbjname,huboid,jdname,jdid,hbjgiho,hbjjikup,hbjhakruk,doc_index,doc_type,doc_type_raw,source_id,original_available,original_url,current_available,current_pdf_path,current_pdf_path_source,current_download_url,classification,raw_fileinfo,filePathName,updtFileName,fileTypeName,fileDispYn,pdfPrvwYn,recovery_status
"320260603-2900-전남광주통합특별시-100163198-2-선거공약서","제9회 전국동시지방선거","2900","전남광주통합특별시","sggname_exact_province","320260603","시·도지사선거","3","3290000","전남광주통합특별시","민형배","100163198","더불어민주당","100","1","정당인","전남대학교 일반대학원 사회학과 졸업(사회학 박사)","2","선거공약서","선거공약서","candidate-doc:100163198:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-2900-전남광주통합특별시-100163089-2-선거공약서","제9회 전국동시지방선거","2900","전남광주통합특별시","sggname_exact_province","320260603","시·도지사선거","3","3290000","전남광주통합특별시","이정현","100163089","국민의힘","200","2","정당인","동국대학교 정치외교학(정치학사) 졸업","2","선거공약서","선거공약서","candidate-doc:100163089:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-2900-전남광주통합특별시-100153775-2-선거공약서","제9회 전국동시지방선거","2900","전남광주통합특별시","sggname_exact_province","320260603","시·도지사선거","3","3290000","전남광주통합특별시","이종욱","100153775","진보당","5010","5","정당인","목포해양전문대학(현 국립목포해양대학교) 항해과 졸업","2","선거공약서","선거공약서","candidate-doc:100153775:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-2900-전남광주통합특별시-100159061-2-선거공약서","제9회 전국동시지방선거","2900","전남광주통합특별시","sggname_exact_province","320260603","시·도지사선거","3","3290000","전남광주통합특별시","강은미","100159061","정의당","730","6","정당인","전남대학교 해양학과 졸업","2","선거공약서","선거공약서","candidate-doc:100159061:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-2900-전남광주통합특별시-100162728-2-선거공약서","제9회 전국동시지방선거","2900","전남광주통합특별시","sggname_exact_province","320260603","시·도지사선거","3","3290000","전남광주통합특별시","김광만","100162728","무소속","9999","7","정치인","고려대학교 경영정보대학원 석사과정(조직관리전공) 졸업","2","선거공약서","선거공약서","candidate-doc:100162728:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"520260603-2900-동구제1선거구-100157106-1-선거공보","제9회 전국동시지방선거","2900","전남광주통합특별시","nec_region_scope","520260603","시·도의회의원선거","5","5290101","동구제1선거구","홍기월","100157106","더불어민주당","100","1","광주광역시의회의원","조선대학교 정책대학원 행정학과 졸업(행정학 석사)","1","선거공보","선거공보","candidate-doc:100157106:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-2900-동구제1선거구-100158198-1-선거공보","제9회 전국동시지방선거","2900","전남광주통합특별시","nec_region_scope","520260603","시·도의회의원선거","5","5290101","동구제1선거구","문정호","100158198","무소속","9999","5","사업가","호남대학교 물리치료학과 졸업","1","선거공보","선거공보","candidate-doc:100158198:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-2900-동구제2선거구-100156289-1-선거공보","제9회 전국동시지방선거","2900","전남광주통합특별시","nec_region_scope","520260603","시·도의회의원선거","5","5290102","동구제2선거구","노진성","100156289","더불어민주당","100","1","정당인","연세대학교 교육대학원 체육및여가교육 졸업(교육학석사)","1","선거공보","선거공보","candidate-doc:100156289:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-2900-서구제1선거구-100154835-1-선거공보","제9회 전국동시지방선거","2900","전남광주통합특별시","nec_region_scope","520260603","시·도의회의원선거","5","5290201","서구제1선거구","강수훈","100154835","더불어민주당","100","1","광주광역시의회의원","전남대학교 법학과 석사졸업","1","선거공보","선거공보","candidate-doc:100154835:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-2900-서구제2선거구-100160569-1-선거공보","제9회 전국동시지방선거","2900","전남광주통합특별시","nec_region_scope","520260603","시·도의회의원선거","5","5290202","서구제2선거구","오미섭","100160569","더불어민주당","100","1","광주광역시 서구의원","호남대학교 대학원 사회복지학과 졸업(사회복지학 박사)","1","선거공보","선거공보","candidate-doc:100160569:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
