subSgName,sggname,doc_type,count
"구·시·군의회의원선거","수원시다선거구","선거공보","6"
"구·시·군의 장선거","가평군","선거공약서","5"
"구·시·군의회의원선거","파주시나선거구","선거공보","5"
"구·시·군의회의원선거","파주시다선거구","선거공보","5"
"구·시·군의회의원선거","파주시마선거구","선거공보","5"
"구·시·군의회의원선거","평택시바선거구","선거공보","5"
"구·시·군의회의원선거","평택시사선거구","선거공보","5"
"구·시·군의 장선거","고양시","선거공약서","4"
"구·시·군의회의원선거","오산시나선거구","선거공보","4"
"구·시·군의회의원선거","파주시가선거구","선거공보","4"
"구·시·군의회의원선거","파주시라선거구","선거공보","4"
"구·시·군의회의원선거","평택시마선거구","선거공보","4"
"기초의원비례대표선거","고양시","비례대표 정당 제출자료","4"
"시·도지사선거","경기도","선거공약서","4"
"광역의원비례대표선거","경기도","비례대표 정당 제출자료","3"
"구·시·군의 장선거","과천시","선거공약서","3"
"구·시·군의 장선거","연천군","선거공약서","3"
"구·시·군의 장선거","오산시","선거공약서","3"
"구·시·군의 장선거","포천시","선거공약서","3"
"구·시·군의 장선거","화성시","선거공약서","3"
"구·시·군의회의원선거","광명시라선거구","선거공보","3"
"구·시·군의회의원선거","광주시다선거구","선거공보","3"
"구·시·군의회의원선거","수원시라선거구","선거공보","3"
"구·시·군의회의원선거","양주시가선거구","선거공보","3"
"구·시·군의회의원선거","의정부시다선거구","선거공보","3"
"구·시·군의회의원선거","의정부시라선거구","선거공보","3"
"구·시·군의회의원선거","평택시라선거구","선거공보","3"
"구·시·군의회의원선거","화성시사선거구","선거공보","3"
"교육감선거","경기도","선거공약서","2"
"구·시·군의 장선거","광명시","선거공약서","2"
"구·시·군의 장선거","광주시","선거공약서","2"
"구·시·군의 장선거","군포시","선거공약서","2"
"구·시·군의 장선거","김포시","선거공약서","2"
"구·시·군의 장선거","남양주시","선거공약서","2"
"구·시·군의 장선거","동두천시","선거공약서","2"
"구·시·군의 장선거","부천시","선거공약서","2"
"구·시·군의 장선거","수원시","선거공약서","2"
"구·시·군의 장선거","안성시","선거공약서","2"
"구·시·군의 장선거","안양시","선거공약서","2"
"구·시·군의 장선거","양평군","선거공약서","2"
"구·시·군의 장선거","용인시","선거공약서","2"
"구·시·군의 장선거","의왕시","선거공약서","2"
"구·시·군의 장선거","의정부시","선거공약서","2"
"구·시·군의 장선거","이천시","선거공약서","2"
"구·시·군의 장선거","파주시","선거공보","2"
"구·시·군의 장선거","파주시","선거공약서","2"
"구·시·군의 장선거","하남시","선거공약서","2"
"구·시·군의회의원선거","고양시자선거구","선거공보","2"
"구·시·군의회의원선거","고양시타선거구","선거공보","2"
"구·시·군의회의원선거","고양시파선거구","선거공보","2"
"구·시·군의회의원선거","광주시라선거구","선거공보","2"
"구·시·군의회의원선거","군포시라선거구","선거공보","2"
"구·시·군의회의원선거","성남시나선거구","선거공보","2"
"구·시·군의회의원선거","성남시다선거구","선거공보","2"
"구·시·군의회의원선거","성남시사선거구","선거공보","2"
"구·시·군의회의원선거","성남시아선거구","선거공보","2"
"구·시·군의회의원선거","성남시자선거구","선거공보","2"
"구·시·군의회의원선거","성남시카선거구","선거공보","2"
"구·시·군의회의원선거","수원시나선거구","선거공보","2"
"구·시·군의회의원선거","수원시차선거구","선거공보","2"
"구·시·군의회의원선거","수원시카선거구","선거공보","2"
"구·시·군의회의원선거","안산시라선거구","선거공보","2"
"구·시·군의회의원선거","안산시바선거구","선거공보","2"
"구·시·군의회의원선거","안양시나선거구","선거공보","2"
"구·시·군의회의원선거","여주시나선거구","선거공보","2"
"구·시·군의회의원선거","용인시나선거구","선거공보","2"
"구·시·군의회의원선거","용인시마선거구","선거공보","2"
"구·시·군의회의원선거","용인시사선거구","선거공보","2"
"구·시·군의회의원선거","용인시아선거구","선거공보","2"
"구·시·군의회의원선거","의정부시가선거구","선거공보","2"
"구·시·군의회의원선거","의정부시나선거구","선거공보","2"
"구·시·군의회의원선거","평택시가선거구","선거공보","2"
"구·시·군의회의원선거","평택시나선거구","선거공보","2"
"구·시·군의회의원선거","평택시다선거구","선거공보","2"
"구·시·군의회의원선거","하남시가선거구","선거공보","2"
"구·시·군의회의원선거","하남시라선거구","선거공보","2"
"기초의원비례대표선거","광명시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","광주시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","부천시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","수원시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","용인시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","의정부시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","평택시","비례대표 정당 제출자료","2"
"시·도의회의원선거","의정부시제3선거구","선거공보","2"
"시·도의회의원선거","파주시제2선거구","선거공보","2"
"시·도의회의원선거","파주시제3선거구","선거공보","2"
"시·도의회의원선거","파주시제4선거구","선거공보","2"
"시·도의회의원선거","파주시제5선거구","선거공보","2"
"시·도의회의원선거","평택시제3선거구","선거공보","2"
"시·도의회의원선거","평택시제6선거구","선거공보","2"
"구·시·군의 장선거","구리시","선거공약서","1"
"구·시·군의 장선거","성남시","5대공약","1"
"구·시·군의 장선거","성남시","선거공약서","1"
"구·시·군의 장선거","시흥시","5대공약","1"
"구·시·군의 장선거","시흥시","선거공보","1"
"구·시·군의 장선거","시흥시","선거공약서","1"
"구·시·군의 장선거","안산시","선거공약서","1"
"구·시·군의 장선거","양주시","선거공약서","1"
"구·시·군의 장선거","여주시","선거공약서","1"
"구·시·군의 장선거","평택시","선거공보","1"
"구·시·군의 장선거","평택시","선거공약서","1"
"구·시·군의회의원선거","고양시사선거구","선거공보","1"
"구·시·군의회의원선거","고양시아선거구","선거공보","1"
"구·시·군의회의원선거","군포시가선거구","선거공보","1"
"구·시·군의회의원선거","군포시나선거구","선거공보","1"
"구·시·군의회의원선거","남양주시나선거구","선거공보","1"
"구·시·군의회의원선거","남양주시사선거구","선거공보","1"
"구·시·군의회의원선거","수원시타선거구","선거공보","1"
"구·시·군의회의원선거","안성시다선거구","선거공보","1"
"구·시·군의회의원선거","용인시자선거구","선거공보","1"
"기초의원비례대표선거","가평군","비례대표 정당 제출자료","1"
"기초의원비례대표선거","군포시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","김포시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","남양주시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","성남시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","안산시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","포천시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","화성시","비례대표 정당 제출자료","1"
"시·도의회의원선거","고양시제1선거구","선거공보","1"
"시·도의회의원선거","고양시제3선거구","선거공보","1"
"시·도의회의원선거","군포시제4선거구","선거공보","1"
"시·도의회의원선거","남양주시제8선거구","선거공보","1"
"시·도의회의원선거","부천시제2선거구","선거공보","1"
"시·도의회의원선거","성남시제3선거구","선거공보","1"
"시·도의회의원선거","수원시제4선거구","선거공보","1"
"시·도의회의원선거","시흥시제1선거구","선거공보","1"
"시·도의회의원선거","시흥시제3선거구","선거공보","1"
"시·도의회의원선거","안산시제2선거구","선거공보","1"
"시·도의회의원선거","안산시제5선거구","선거공보","1"
"시·도의회의원선거","용인시제3선거구","선거공보","1"
"시·도의회의원선거","의정부시제4선거구","선거공보","1"
"시·도의회의원선거","파주시제1선거구","선거공보","1"
"시·도의회의원선거","평택시제4선거구","선거공보","1"
"시·도의회의원선거","평택시제5선거구","선거공보","1"
"시·도의회의원선거","화성시제6선거구","선거공보","1"
"시·도의회의원선거","화성시제8선거구","선거공보","1"
