record_id,election_name,province_id,province_name,province_source,subSgId,subSgName,sgTypecode,sggid,sggname,hbjname,huboid,jdname,jdid,hbjgiho,hbjjikup,hbjhakruk,doc_index,doc_type,doc_type_raw,source_id,original_available,original_url,current_available,current_pdf_path,current_pdf_path_source,current_download_url,classification,raw_fileinfo,filePathName,updtFileName,fileTypeName,fileDispYn,pdfPrvwYn,recovery_status
"320260603-4100-경기도-100163148-2-선거공약서","제9회 전국동시지방선거","4100","경기도","sggname_exact_province","320260603","시·도지사선거","3","3410000","경기도","추미애","100163148","더불어민주당","100","1","정당인","한양대학교 법학과 졸업","2","선거공약서","선거공약서","candidate-doc:100163148:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-4100-경기도-100163471-2-선거공약서","제9회 전국동시지방선거","4100","경기도","sggname_exact_province","320260603","시·도지사선거","3","3410000","경기도","조응천","100163471","개혁신당","5070","4","정당인","서울대학교 법과대학 공법학과 졸업(법학사)","2","선거공약서","선거공약서","candidate-doc:100163471:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-4100-경기도-100153796-2-선거공약서","제9회 전국동시지방선거","4100","경기도","sggname_exact_province","320260603","시·도지사선거","3","3410000","경기도","홍성규","100153796","진보당","5010","5","정당인","서울대학교 대학원 정치학과 졸업(정치학 석사)","2","선거공약서","선거공약서","candidate-doc:100153796:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-4100-경기도-100158402-2-선거공약서","제9회 전국동시지방선거","4100","경기도","sggname_exact_province","320260603","시·도지사선거","3","3410000","경기도","김현욱","100158402","국민연합","4080","6","주식회사 서현건설 대표이사","경기대학교 정치전문대학원 정치법학과 졸업(정치학박사)","2","선거공약서","선거공약서","candidate-doc:100158402:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4100-수원시-100163860-2-선거공약서","제9회 전국동시지방선거","4100","경기도","nec_region_scope","420260603","구·시·군의 장선거","4","4410300","수원시","이재준","100163860","더불어민주당","100","1","수원시장","서울대학교대학원 협동과정 조경학과 졸업(공학박사)","2","선거공약서","선거공약서","candidate-doc:100163860:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4100-수원시-100162275-2-선거공약서","제9회 전국동시지방선거","4100","경기도","nec_region_scope","420260603","구·시·군의 장선거","4","4410300","수원시","정희윤","100162275","개혁신당","5070","4","정당인","광운대학교대학원 건설법무학과 박사과정 휴학","2","선거공약서","선거공약서","candidate-doc:100162275:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4100-용인시-100156754-2-선거공약서","제9회 전국동시지방선거","4100","경기도","nec_region_scope","420260603","구·시·군의 장선거","4","4413500","용인시","현근택","100156754","더불어민주당","100","1","변호사","서울대학교 행정대학원 수료(정책학 석사과정)","2","선거공약서","선거공약서","candidate-doc:100156754:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4100-용인시-100163609-2-선거공약서","제9회 전국동시지방선거","4100","경기도","nec_region_scope","420260603","구·시·군의 장선거","4","4413500","용인시","송창훈","100163609","개혁신당","5070","4","정당인","가천대학교 설비소방공학과 졸업","2","선거공약서","선거공약서","candidate-doc:100163609:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4100-고양시-100155611-2-선거공약서","제9회 전국동시지방선거","4100","경기도","nec_region_scope","420260603","구·시·군의 장선거","4","4412000","고양시","민경선","100155611","더불어민주당","100","1","정당인","서강대학교 경제대학원 졸업(경제학 석사)","2","선거공약서","선거공약서","candidate-doc:100155611:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4100-고양시-100163639-2-선거공약서","제9회 전국동시지방선거","4100","경기도","nec_region_scope","420260603","구·시·군의 장선거","4","4412000","고양시","이동환","100163639","국민의힘","200","2","고양시장","연세대학교 대학원 졸업(공학박사)","2","선거공약서","선거공약서","candidate-doc:100163639:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
