subSgName,sggname,doc_type,count
"교육감선거","충청북도","선거공약서","3"
"구·시·군의 장선거","제천시","선거공약서","3"
"구·시·군의 장선거","청주시","선거공약서","3"
"구·시·군의회의원선거","청주시라선거구","선거공보","3"
"구·시·군의 장선거","괴산군","선거공약서","2"
"구·시·군의 장선거","단양군","선거공약서","2"
"구·시·군의 장선거","보은군","선거공약서","2"
"구·시·군의 장선거","영동군","선거공약서","2"
"구·시·군의 장선거","옥천군","선거공약서","2"
"구·시·군의 장선거","음성군","선거공약서","2"
"구·시·군의 장선거","진천군","선거공약서","2"
"구·시·군의 장선거","충주시","선거공약서","2"
"구·시·군의회의원선거","영동군다선거구","선거공보","2"
"구·시·군의회의원선거","제천시바선거구","선거공보","2"
"구·시·군의회의원선거","청주시카선거구","선거공보","2"
"시·도지사선거","충청북도","선거공약서","2"
"구·시·군의 장선거","제천시","선거공보","1"
"구·시·군의 장선거","증평군","선거공약서","1"
"구·시·군의회의원선거","괴산군나선거구","선거공보","1"
"구·시·군의회의원선거","영동군가선거구","선거공보","1"
"구·시·군의회의원선거","영동군나선거구","선거공보","1"
"구·시·군의회의원선거","제천시가선거구","선거공보","1"
"구·시·군의회의원선거","제천시라선거구","선거공보","1"
"기초의원비례대표선거","청주시","비례대표 정당 제출자료","1"
"시·도의회의원선거","괴산군선거구","선거공보","1"
