record_id,election_name,province_id,province_name,province_source,subSgId,subSgName,sgTypecode,sggid,sggname,hbjname,huboid,jdname,jdid,hbjgiho,hbjjikup,hbjhakruk,doc_index,doc_type,doc_type_raw,source_id,original_available,original_url,current_available,current_pdf_path,current_pdf_path_source,current_download_url,classification,raw_fileinfo,filePathName,updtFileName,fileTypeName,fileDispYn,pdfPrvwYn,recovery_status
"320260603-4400-충청남도-100163640-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","sggname_exact_province","320260603","시·도지사선거","3","3440000","충청남도","김태흠","100163640","국민의힘","200","2","충청남도지사","서강대학교 공공정책대학원 사회복지정책학과 졸업(행정학석사)","2","선거공약서","선거공약서","candidate-doc:100163640:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-천안시-100155038-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4441700","천안시","장기수","100155038","더불어민주당","100","1","정당인","단국대학교 경영학과 졸업","2","선거공약서","선거공약서","candidate-doc:100155038:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-천안시-100155104-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4441700","천안시","박찬우","100155104","국민의힘","200","2","정당인","성균관대학교 대학원 행정학과 졸업(행정학박사)","2","선거공약서","선거공약서","candidate-doc:100155104:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-천안시-100163395-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4441700","천안시","이성진","100163395","개혁신당","5070","4","기업인","문학사(심리학 전공)","2","선거공약서","선거공약서","candidate-doc:100163395:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-공주시-100154547-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4440200","공주시","김정섭","100154547","더불어민주당","100","1","정당인","고려대학교 정치외교학과 졸업","2","선거공약서","선거공약서","candidate-doc:100154547:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-공주시-100161314-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4440200","공주시","최원철","100161314","국민의힘","200","2","공주시장","인천대학교 건축공학과 졸업","2","선거공약서","선거공약서","candidate-doc:100161314:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-보령시-100153989-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4440300","보령시","이영우","100153989","더불어민주당","100","1","정당인","공주대학교 식물자원학과 졸업(농학사)","2","선거공약서","선거공약서","candidate-doc:100153989:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-보령시-100156967-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4440300","보령시","엄승용","100156967","국민의힘","200","2","보령시 발전협의회 회장","영국 뉴캐슬대학교 정치학 박사(2000.01. - 2010.08.)","2","선거공약서","선거공약서","candidate-doc:100156967:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-보령시-100157659-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4440300","보령시","김흥식","100157659","무소속","9999","5","보령 해양도시 전략연구소 이사장","경기대학교 관광전문대학원 졸업(관광학박사)","2","선거공약서","선거공약서","candidate-doc:100157659:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4400-아산시-100160751-2-선거공약서","제9회 전국동시지방선거","4400","충청남도","nec_region_scope","420260603","구·시·군의 장선거","4","4440400","아산시","한태국","100160751","무소속","9999","5","아산천호교회 JEBS (정철영어성경학교) 디렉터","고든-콘웰 신학대학원 졸업(신학석사) (2002. 9- 2003. 5)","2","선거공약서","선거공약서","candidate-doc:100160751:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
