record_id,election_name,province_id,province_name,province_source,subSgId,subSgName,sgTypecode,sggid,sggname,hbjname,huboid,jdname,jdid,hbjgiho,hbjjikup,hbjhakruk,doc_index,doc_type,doc_type_raw,source_id,original_available,original_url,current_available,current_pdf_path,current_pdf_path_source,current_download_url,classification,raw_fileinfo,filePathName,updtFileName,fileTypeName,fileDispYn,pdfPrvwYn,recovery_status
"420260603-4600-목포시-100154453-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460100","목포시","강성휘","100154453","더불어민주당","100","1","정당인","목포대학교 일반대학원 행정학 박사","2","선거공약서","선거공약서","candidate-doc:100154453:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-목포시-100163944-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460100","목포시","윤선웅","100163944","국민의힘","200","2","기업인","건국대학교 일반대학원 박사과정 도시재생학과 도시 및 지역계획 전공 수료","2","선거공약서","선거공약서","candidate-doc:100163944:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-목포시-100155357-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460100","목포시","박홍률","100155357","조국혁신당","5077","3","정치인","한양대학교 행정대학원 사법경찰행정학과 졸업(석사)","2","선거공약서","선거공약서","candidate-doc:100155357:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-목포시-100156171-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460100","목포시","여인두","100156171","정의당","730","5","정당인","목포대학교 사회과학대학 행정학과 졸업","2","선거공약서","선거공약서","candidate-doc:100156171:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-여수시-100155926-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460200","여수시","서영학","100155926","더불어민주당","100","1","행정사","전남대학교 일반대학원 임학과 석사과정 수료","2","선거공약서","선거공약서","candidate-doc:100155926:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-여수시-100154344-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460200","여수시","명창환","100154344","조국혁신당","5077","3","정당인","전남대학교 법과대학 행정학과 졸업","2","선거공약서","선거공약서","candidate-doc:100154344:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-여수시-100154700-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460200","여수시","원용규","100154700","무소속","9999","5","무직","가톨릭대학교 영어영미문화과 졸업","2","선거공약서","선거공약서","candidate-doc:100154700:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-여수시-100156517-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460200","여수시","김창주","100156517","무소속","9999","6","주식회사 휴엔텍 대표","연세대학교 법과대학 법학과 졸업","2","선거공약서","선거공약서","candidate-doc:100156517:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-순천시-100154578-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460400","순천시","손훈모","100154578","더불어민주당","100","1","법률사무소 순천 대표변호사","고려대학교 법학과 졸업","2","선거공약서","선거공약서","candidate-doc:100154578:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-순천시-100155728-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460400","순천시","이성수","100155728","진보당","5010","5","정당인","중앙대학교 정경대학 정치외교학과 졸업","2","선거공약서","선거공약서","candidate-doc:100155728:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-순천시-100163478-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460400","순천시","노관규","100163478","무소속","9999","6","순천시장","한국방송통신대학교 경영학과 1학년 제적(1986.03.01~1991.12.19)","2","선거공약서","선거공약서","candidate-doc:100163478:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-나주시-100159254-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460600","나주시","윤병태","100159254","더불어민주당","100","1","나주시장","미국미주리대학교-컬럼비아경제학대학원(경제학박사) [2004.1~2006.12]","2","선거공약서","선거공약서","candidate-doc:100159254:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-나주시-100154407-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460600","나주시","김덕수","100154407","조국혁신당","5077","3","정당인","전남대학교 경영대학 경제학과 졸업","2","선거공약서","선거공약서","candidate-doc:100154407:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-광양시-100158508-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460700","광양시","정인화","100158508","더불어민주당","100","1","광양시장","한양대학교 국제관광대학원졸업(국제관광학석사)","2","선거공약서","선거공약서","candidate-doc:100158508:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-광양시-100154755-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460700","광양시","박성현","100154755","무소속","9999","5","국립목포해양대학교 교수","한국해양대학 항해학과 졸업((현)국립한국해양대학교)","2","선거공약서","선거공약서","candidate-doc:100154755:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-광양시-100162955-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460700","광양시","박필순","100162955","무소속","9999","6","무직","한양대학교 행정대학원 일반행정전공 졸업(행정학석사)","2","선거공약서","선거공약서","candidate-doc:100162955:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-담양군-100159766-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460800","담양군","박종원","100159766","더불어민주당","100","1","전라남도의회의원","전남대학교 정책대학원 졸업(행정학석사)","2","선거공약서","선거공약서","candidate-doc:100159766:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-담양군-100161597-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460800","담양군","정철원","100161597","조국혁신당","5077","3","담양군수","담양대학(현 국립목포대학교)토목과 졸업","2","선거공약서","선거공약서","candidate-doc:100161597:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-담양군-100159811-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4460800","담양군","최화삼","100159811","무소속","9999","5","무직","호남대학교 경제학과 졸업","2","선거공약서","선거공약서","candidate-doc:100159811:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"420260603-4600-곡성군-100162127-2-선거공약서","제9회 전국동시지방선거","4600","전라남도","nec_region_scope","420260603","구·시·군의 장선거","4","4461000","곡성군","조상래","100162127","더불어민주당","100","1","곡성군수","성균관대학교 사회학과 졸업","2","선거공약서","선거공약서","candidate-doc:100162127:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
