subSgName,sggname,doc_type,count
"기초의원비례대표선거","창원시","비례대표 정당 제출자료","5"
"구·시·군의 장선거","거창군","선거공약서","4"
"구·시·군의 장선거","고성군","선거공약서","4"
"구·시·군의 장선거","함양군","선거공약서","4"
"교육감선거","경상남도","선거공약서","3"
"구·시·군의 장선거","김해시","선거공약서","3"
"구·시·군의 장선거","산청군","선거공약서","3"
"구·시·군의 장선거","의령군","선거공약서","3"
"구·시·군의 장선거","진주시","선거공약서","3"
"구·시·군의 장선거","창원시","선거공약서","3"
"구·시·군의 장선거","통영시","선거공약서","3"
"구·시·군의 장선거","하동군","선거공약서","3"
"구·시·군의회의원선거","함양군가선거구","선거공보","3"
"시·도지사선거","경상남도","선거공약서","3"
"구·시·군의 장선거","거제시","선거공약서","2"
"구·시·군의 장선거","남해군","선거공약서","2"
"구·시·군의 장선거","밀양시","선거공약서","2"
"구·시·군의 장선거","사천시","선거공약서","2"
"구·시·군의 장선거","창녕군","선거공약서","2"
"구·시·군의 장선거","함안군","선거공약서","2"
"구·시·군의 장선거","합천군","선거공약서","2"
"구·시·군의회의원선거","김해시마선거구","선거공보","2"
"구·시·군의회의원선거","양산시마선거구","선거공보","2"
"구·시·군의회의원선거","의령군다선거구","선거공보","2"
"구·시·군의회의원선거","창원시사선거구","선거공보","2"
"구·시·군의회의원선거","창원시타선거구","선거공보","2"
"구·시·군의회의원선거","함양군다선거구","선거공보","2"
"기초의원비례대표선거","김해시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","양산시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","하동군","비례대표 정당 제출자료","2"
"구·시·군의 장선거","양산시","선거공약서","1"
"구·시·군의회의원선거","김해시나선거구","선거공보","1"
"구·시·군의회의원선거","김해시다선거구","선거공보","1"
"구·시·군의회의원선거","김해시라선거구","선거공보","1"
"구·시·군의회의원선거","김해시사선거구","선거공보","1"
"구·시·군의회의원선거","김해시아선거구","선거공보","1"
"구·시·군의회의원선거","양산시나선거구","선거공보","1"
"구·시·군의회의원선거","양산시아선거구","선거공보","1"
"기초의원비례대표선거","밀양시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","사천시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","산청군","비례대표 정당 제출자료","1"
"기초의원비례대표선거","의령군","비례대표 정당 제출자료","1"
"기초의원비례대표선거","진주시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","창녕군","비례대표 정당 제출자료","1"
"기초의원비례대표선거","함안군","비례대표 정당 제출자료","1"
"시·도의회의원선거","김해시제4선거구","선거공보","1"
"시·도의회의원선거","김해시제7선거구","선거공보","1"
"시·도의회의원선거","김해시제8선거구","선거공보","1"
"시·도의회의원선거","양산시제1선거구","선거공보","1"
"시·도의회의원선거","양산시제2선거구","선거공보","1"
"시·도의회의원선거","의령군선거구","선거공보","1"
