record_id,election_name,province_id,province_name,province_source,subSgId,subSgName,sgTypecode,sggid,sggname,hbjname,huboid,jdname,jdid,hbjgiho,hbjjikup,hbjhakruk,doc_index,doc_type,doc_type_raw,source_id,original_available,original_url,current_available,current_pdf_path,current_pdf_path_source,current_download_url,classification,raw_fileinfo,filePathName,updtFileName,fileTypeName,fileDispYn,pdfPrvwYn,recovery_status
"320260603-4900-제주특별자치도-100163197-2-선거공약서","제9회 전국동시지방선거","4900","제주특별자치도","sggname_exact_province","320260603","시·도지사선거","3","3490000","제주특별자치도","위성곤","100163197","더불어민주당","100","1","정당인","제주대학교 행정대학원 정치외교학과 정치학전공 석사과정 수료","2","선거공약서","선거공약서","candidate-doc:100163197:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-4900-제주특별자치도-100157851-2-선거공약서","제9회 전국동시지방선거","4900","제주특별자치도","sggname_exact_province","320260603","시·도지사선거","3","3490000","제주특별자치도","문성유","100157851","국민의힘","200","2","정당인","맨체스터대학교 경제사회학(개발경제학 전공) 석사(1997.09~1998.12)","2","선거공약서","선거공약서","candidate-doc:100157851:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"320260603-4900-제주특별자치도-100153886-2-선거공약서","제9회 전국동시지방선거","4900","제주특별자치도","sggname_exact_province","320260603","시·도지사선거","3","3490000","제주특별자치도","양윤녕","100153886","무소속","9999","5","정치인","단국대학교 경영대학원 경영학과 국제경영학 전공(석사)졸업","2","선거공약서","선거공약서","candidate-doc:100153886:2","false","","false","","","","current_unavailable_official_source","선거공약서||||||0||HEIGHT||Y||||00","","","","Y","","pending_official_source_search"
"520260603-4900-제주특별자치도-제주시-일도1동-이도1동-건입동선거구-100162508-1-선거공보","제9회 전국동시지방선거","4900","제주특별자치도","nec_region_scope","520260603","시·도의회의원선거","5","5490101","제주특별자치도 제주시 일도1동·이도1동·건입동선거구","한권","100162508","더불어민주당","100","1","제주특별자치도의회 의원","제주대학교 행정대학원 석사과정 수료","1","선거공보","선거공보","candidate-doc:100162508:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-4900-제주특별자치도-제주시-이도2동갑선거구-100163106-1-선거공보","제9회 전국동시지방선거","4900","제주특별자치도","nec_region_scope","520260603","시·도의회의원선거","5","5490104","제주특별자치도 제주시 이도2동갑선거구","김기환","100163106","더불어민주당","100","1","제주특별자치도의회의원","제주대학교 경영대학원 관광경영학과 석사과정 휴학 ","1","선거공보","선거공보","candidate-doc:100163106:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-4900-제주특별자치도-제주시-화북동선거구-100157833-1-선거공보","제9회 전국동시지방선거","4900","제주특별자치도","nec_region_scope","520260603","시·도의회의원선거","5","5490108","제주특별자치도 제주시 화북동선거구","강성의","100157833","더불어민주당","100","1","제주특별자치도의회의원","이화여자대학교 대학원 여성학과 졸업(문학석사)","1","선거공보","선거공보","candidate-doc:100157833:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-4900-제주특별자치도-제주시-삼양동-봉개동선거구-100155671-1-선거공보","제9회 전국동시지방선거","4900","제주특별자치도","nec_region_scope","520260603","시·도의회의원선거","5","5490109","제주특별자치도 제주시 삼양동·봉개동선거구","박안수","100155671","더불어민주당","100","1","정당인","제주관광대학교 사회복지과 졸업","1","선거공보","선거공보","candidate-doc:100155671:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-4900-제주특별자치도-제주시-아라동갑선거구-100154766-1-선거공보","제9회 전국동시지방선거","4900","제주특별자치도","nec_region_scope","520260603","시·도의회의원선거","5","5490120","제주특별자치도 제주시 아라동갑선거구","김봉현","100154766","더불어민주당","100","1","정당인","제주대학교 일반대학원 경영학과 졸업(경영학박사)","1","선거공보","선거공보","candidate-doc:100154766:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-4900-제주특별자치도-제주시-애월읍을선거구-100161045-1-선거공보","제9회 전국동시지방선거","4900","제주특별자치도","nec_region_scope","520260603","시·도의회의원선거","5","5490123","제주특별자치도 제주시 애월읍을선거구","강봉직","100161045","더불어민주당","100","1","제주특별자치도의회의원","제주대학교 부동산관리학과 졸업","1","선거공보","선거공보","candidate-doc:100161045:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
"520260603-4900-제주특별자치도-서귀포시-대천동-중문동-예래동선거구-100158090-1-선거공보","제9회 전국동시지방선거","4900","제주특별자치도","nec_region_scope","520260603","시·도의회의원선거","5","5490205","제주특별자치도 서귀포시 대천동·중문동·예래동선거구","임정은","100158090","더불어민주당","100","1","제주특별자치도의회의원","탐라대학교(현, 제주국제대학교) 호텔경영학과 졸업","1","선거공보","선거공보","candidate-doc:100158090:1","false","","false","","","","current_unavailable_official_source","선거공보||||||0||HEIGHT||Y||||00","","","","N","","pending_official_source_search"
