subSgName,sggname,doc_type,count
"구·시·군의 장선거","영월군","선거공약서","4"
"구·시·군의 장선거","강릉시","선거공약서","3"
"구·시·군의 장선거","동해시","선거공약서","3"
"구·시·군의 장선거","속초시","선거공약서","3"
"구·시·군의 장선거","철원군","선거공약서","3"
"구·시·군의 장선거","횡성군","선거공약서","3"
"구·시·군의회의원선거","홍천군다선거구","선거공보","3"
"시·도의회의원선거","홍천군제2선거구","선거공보","3"
"교육감선거","강원특별자치도","선거공약서","2"
"구·시·군의 장선거","고성군","선거공약서","2"
"구·시·군의 장선거","삼척시","선거공약서","2"
"구·시·군의 장선거","양구군","선거공약서","2"
"구·시·군의 장선거","양양군","선거공약서","2"
"구·시·군의 장선거","원주시","선거공약서","2"
"구·시·군의 장선거","인제군","선거공약서","2"
"구·시·군의 장선거","정선군","선거공약서","2"
"구·시·군의 장선거","춘천시","선거공약서","2"
"구·시·군의 장선거","태백시","선거공약서","2"
"구·시·군의 장선거","평창군","선거공약서","2"
"구·시·군의 장선거","홍천군","선거공보","2"
"구·시·군의 장선거","홍천군","선거공약서","2"
"구·시·군의 장선거","화천군","선거공약서","2"
"구·시·군의회의원선거","원주시아선거구","선거공보","2"
"구·시·군의회의원선거","춘천시라선거구","선거공보","2"
"구·시·군의회의원선거","춘천시사선거구","선거공보","2"
"구·시·군의회의원선거","홍천군나선거구","선거공보","2"
"기초의원비례대표선거","양구군","비례대표 정당 제출자료","2"
"기초의원비례대표선거","영월군","비례대표 정당 제출자료","2"
"기초의원비례대표선거","춘천시","비례대표 정당 제출자료","2"
"기초의원비례대표선거","홍천군","비례대표 정당 제출자료","2"
"시·도지사선거","강원특별자치도","선거공약서","2"
"구·시·군의회의원선거","강릉시다선거구","선거공보","1"
"구·시·군의회의원선거","삼척시나선거구","선거공보","1"
"구·시·군의회의원선거","춘천시가선거구","선거공보","1"
"구·시·군의회의원선거","춘천시마선거구","선거공보","1"
"구·시·군의회의원선거","춘천시바선거구","선거공보","1"
"구·시·군의회의원선거","홍천군가선거구","선거공보","1"
"시·도의회의원선거","원주시제9선거구","선거공보","1"
"시·도의회의원선거","춘천시제2선거구","선거공보","1"
"시·도의회의원선거","홍천군제1선거구","선거공보","1"
