subSgName,sggname,doc_type,count
"구·시·군의회의원선거","김제시나선거구","선거공보","5"
"구·시·군의회의원선거","장수군나선거구","선거공보","5"
"구·시·군의회의원선거","정읍시마선거구","선거공보","5"
"기초의원비례대표선거","전주시","비례대표 정당 제출자료","5"
"시·도지사선거","전북특별자치도","선거공약서","5"
"구·시·군의 장선거","부안군","선거공약서","4"
"구·시·군의 장선거","익산시","선거공약서","4"
"구·시·군의회의원선거","김제시가선거구","선거공보","4"
"구·시·군의회의원선거","김제시라선거구","선거공보","4"
"구·시·군의회의원선거","장수군가선거구","선거공보","4"
"구·시·군의회의원선거","정읍시가선거구","선거공보","4"
"구·시·군의회의원선거","정읍시나선거구","선거공보","4"
"구·시·군의회의원선거","정읍시라선거구","선거공보","4"
"구·시·군의회의원선거","정읍시사선거구","선거공보","4"
"구·시·군의 장선거","군산시","선거공약서","3"
"구·시·군의 장선거","남원시","선거공약서","3"
"구·시·군의 장선거","임실군","선거공약서","3"
"구·시·군의 장선거","전주시","선거공약서","3"
"구·시·군의 장선거","정읍시","선거공약서","3"
"구·시·군의 장선거","진안군","선거공약서","3"
"구·시·군의회의원선거","김제시다선거구","선거공보","3"
"구·시·군의회의원선거","완주군나선거구","선거공보","3"
"구·시·군의회의원선거","전주시마선거구","선거공보","3"
"구·시·군의회의원선거","정읍시바선거구","선거공보","3"
"광역의원비례대표선거","전북특별자치도","비례대표 정당 제출자료","2"
"교육감선거","전북특별자치도","선거공약서","2"
"구·시·군의 장선거","고창군","5대공약","2"
"구·시·군의 장선거","고창군","선거공약서","2"
"구·시·군의 장선거","김제시","선거공보","2"
"구·시·군의 장선거","김제시","선거공약서","2"
"구·시·군의 장선거","무주군","선거공약서","2"
"구·시·군의 장선거","순창군","선거공약서","2"
"구·시·군의 장선거","완주군","선거공약서","2"
"구·시·군의 장선거","장수군","선거공약서","2"
"구·시·군의회의원선거","군산시다선거구","선거공보","2"
"구·시·군의회의원선거","남원시가선거구","선거공보","2"
"구·시·군의회의원선거","남원시라선거구","선거공보","2"
"구·시·군의회의원선거","부안군나선거구","선거공보","2"
"구·시·군의회의원선거","익산시가선거구","선거공보","2"
"구·시·군의회의원선거","전주시타선거구","선거공보","2"
"구·시·군의회의원선거","정읍시다선거구","선거공보","2"
"기초의원비례대표선거","장수군","비례대표 정당 제출자료","2"
"기초의원비례대표선거","정읍시","비례대표 정당 제출자료","2"
"시·도의회의원선거","군산시제2선거구","선거공보","2"
"시·도의회의원선거","김제시제2선거구","선거공보","2"
"시·도의회의원선거","장수군선거구","선거공보","2"
"시·도의회의원선거","정읍시제2선거구","선거공보","2"
"구·시·군의회의원선거","부안군라선거구","선거공보","1"
"구·시·군의회의원선거","전주시라선거구","선거공보","1"
"기초의원비례대표선거","김제시","비례대표 정당 제출자료","1"
"기초의원비례대표선거","무주군","비례대표 정당 제출자료","1"
"기초의원비례대표선거","부안군","비례대표 정당 제출자료","1"
"기초의원비례대표선거","순창군","비례대표 정당 제출자료","1"
"기초의원비례대표선거","진안군","비례대표 정당 제출자료","1"
"시·도의회의원선거","고창군제1선거구","선거공보","1"
"시·도의회의원선거","고창군제2선거구","선거공보","1"
"시·도의회의원선거","군산시제3선거구","선거공보","1"
"시·도의회의원선거","군산시제4선거구","선거공보","1"
"시·도의회의원선거","군산시제5선거구","선거공보","1"
"시·도의회의원선거","김제시제1선거구","선거공보","1"
"시·도의회의원선거","무주군선거구","선거공보","1"
"시·도의회의원선거","완주군제1선거구","선거공보","1"
"시·도의회의원선거","완주군제2선거구","선거공보","1"
"시·도의회의원선거","익산시제1선거구","선거공보","1"
"시·도의회의원선거","익산시제2선거구","선거공보","1"
"시·도의회의원선거","익산시제3선거구","선거공보","1"
"시·도의회의원선거","익산시제4선거구","선거공보","1"
"시·도의회의원선거","익산시제5선거구","선거공보","1"
"시·도의회의원선거","전주시제10선거구","선거공보","1"
"시·도의회의원선거","전주시제11선거구","선거공보","1"
"시·도의회의원선거","전주시제12선거구","선거공보","1"
"시·도의회의원선거","전주시제1선거구","선거공보","1"
"시·도의회의원선거","전주시제2선거구","선거공보","1"
"시·도의회의원선거","전주시제3선거구","선거공보","1"
"시·도의회의원선거","전주시제4선거구","선거공보","1"
"시·도의회의원선거","전주시제5선거구","선거공보","1"
"시·도의회의원선거","전주시제6선거구","선거공보","1"
"시·도의회의원선거","전주시제7선거구","선거공보","1"
"시·도의회의원선거","전주시제8선거구","선거공보","1"
"시·도의회의원선거","전주시제9선거구","선거공보","1"
"시·도의회의원선거","정읍시제1선거구","선거공보","1"
