record_id,record_type,voter_area,contest_id,contest_name,election_type,district,candidate_name,candidate_id,party_name,ballot_number,job,education,document_type,document_availability,source_id,official_url,github_entry,github_url,source_fileinfo,evidence
"available-candidate-doc:100163148:3","candidate_document","운정2동","gyeonggi_governor","경기도지사","시·도지사선거","경기도","추미애","100163148","더불어민주당","1","정당인","한양대학교 법학과 졸업","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100163148:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B2%BD%EA%B8%B0%EB%8F%84_%EC%B6%94%EB%AF%B8%EC%95%A0_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4100/001_100163148_20260515_1.pdf","batches/batch_002/documents/candidate_document/00191_candidate-doc_100163148_3_00214_candidate-doc_100163148_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_002/documents/candidate_document/00191_candidate-doc_100163148_3_00214_candidate-doc_100163148_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"available-candidate-doc:100163432:3","candidate_document","운정2동","gyeonggi_governor","경기도지사","시·도지사선거","경기도","양향자","100163432","국민의힘","2","정당인","서울과학종합대학원대학교 졸업(경영학박사)","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100163432:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B2%BD%EA%B8%B0%EB%8F%84_%EC%96%91%ED%96%A5%EC%9E%90_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4100/001_100163432_20260515_1.pdf","batches/batch_003/documents/candidate_document/00201_candidate-doc_100163432_3_00224_candidate-doc_100163432_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_003/documents/candidate_document/00201_candidate-doc_100163432_3_00224_candidate-doc_100163432_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"available-candidate-doc:100163471:3","candidate_document","운정2동","gyeonggi_governor","경기도지사","시·도지사선거","경기도","조응천","100163471","개혁신당","4","정당인","서울대학교 법과대학 공법학과 졸업(법학사)","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100163471:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B2%BD%EA%B8%B0%EB%8F%84_%EC%A1%B0%EC%9D%91%EC%B2%9C_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4100/001_100163471_20260515_1.pdf","batches/batch_003/documents/candidate_document/00202_candidate-doc_100163471_3_00225_candidate-doc_100163471_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_003/documents/candidate_document/00202_candidate-doc_100163471_3_00225_candidate-doc_100163471_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"available-candidate-doc:100153796:3","candidate_document","운정2동","gyeonggi_governor","경기도지사","시·도지사선거","경기도","홍성규","100153796","진보당","5","정당인","서울대학교 대학원 정치학과 졸업(정치학 석사)","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100153796:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B2%BD%EA%B8%B0%EB%8F%84_%ED%99%8D%EC%84%B1%EA%B7%9C_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4100/001_100153796_20260515_1.pdf","batches/batch_002/documents/candidate_document/00157_candidate-doc_100153796_3_00180_candidate-doc_100153796_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_002/documents/candidate_document/00157_candidate-doc_100153796_3_00180_candidate-doc_100153796_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"available-candidate-doc:100158402:3","candidate_document","운정2동","gyeonggi_governor","경기도지사","시·도지사선거","경기도","김현욱","100158402","국민연합","6","주식회사 서현건설 대표이사","경기대학교 정치전문대학원 정치법학과 졸업(정치학박사)","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100158402:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B2%BD%EA%B8%B0%EB%8F%84_%EA%B9%80%ED%98%84%EC%9A%B1_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4100/001_100158402_20260515_1.pdf","batches/batch_002/documents/candidate_document/00168_candidate-doc_100158402_3_00191_candidate-doc_100158402_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_002/documents/candidate_document/00168_candidate-doc_100158402_3_00191_candidate-doc_100158402_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"available-candidate-doc:100163064:3","candidate_document","운정2동","gyeonggi_education_superintendent","경기도교육감","교육감선거","경기도","임태희","100163064","무소속","1","경기도교육감","서울대학교 대학원 졸업(경영학 석사)","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100163064:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B2%BD%EA%B8%B0%EB%8F%84_%EC%9E%84%ED%83%9C%ED%9D%AC_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4100/001_100163064_20260515_1.pdf","batches/batch_001/documents/candidate_document/00055_candidate-doc_100163064_3_00055_candidate-doc_100163064_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_001/documents/candidate_document/00055_candidate-doc_100163064_3_00055_candidate-doc_100163064_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"available-candidate-doc:100153797:3","candidate_document","운정2동","gyeonggi_education_superintendent","경기도교육감","교육감선거","경기도","안민석","100153797","무소속","2","명지대학교 석좌교수","미국 노던콜로라도대학교 대학원 졸업(교육학박사, 1990.09~1993.05)","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100153797:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B2%BD%EA%B8%B0%EB%8F%84_%EC%95%88%EB%AF%BC%EC%84%9D_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4100/001_100153797_20260515_1.pdf","batches/batch_001/documents/candidate_document/00028_candidate-doc_100153797_3_00028_candidate-doc_100153797_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_001/documents/candidate_document/00028_candidate-doc_100153797_3_00028_candidate-doc_100153797_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"available-candidate-doc:100154507:3","candidate_document","운정2동","paju_mayor","파주시장","구·시·군의 장선거","파주시","손배찬","100154507","더불어민주당","1","정당인","동국대학교 행정대학원 졸업(행정학석사)","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100154507:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%ED%8C%8C%EC%A3%BC%EC%8B%9C_%EC%86%90%EB%B0%B0%EC%B0%AC_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4132/001_100154507_20260516_2.pdf","batches/batch_004/documents/candidate_document/00314_candidate-doc_100154507_3_00350_candidate-doc_100154507_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_004/documents/candidate_document/00314_candidate-doc_100154507_3_00350_candidate-doc_100154507_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"available-candidate-doc:100156661:3","candidate_document","운정2동","paju_mayor","파주시장","구·시·군의 장선거","파주시","박용호","100156661","국민의힘","2","4차산업혁명 인공지능 연구원 대표","서울대학교 대학원 전기공학전공 졸업(공학석사)","5대공약","available_official_pdf_uploaded_to_opencrab","candidate-doc:100156661:3","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%ED%8C%8C%EC%A3%BC%EC%8B%9C_%EB%B0%95%EC%9A%A9%ED%98%B8_5%EB%8C%80%EA%B3%B5%EC%95%BD.pdf&requestedFullPath=20260603/PDF/P5_PRMS_PUB/4132/001_100156661_20260516_2.pdf","batches/batch_004/documents/candidate_document/00389_candidate-doc_100156661_3_00427_candidate-doc_100156661_3.md","https://github.com/treylom/opencrab-nec-2026-local-election-data/blob/main/batches/batch_004/documents/candidate_document/00389_candidate-doc_100156661_3_00427_candidate-doc_100156661_3.md","","OpenCrab document node audit found this source_id; GitHub manifest includes this document."
"unavailable-candidate-doc:100155476:1","candidate_document_status","운정2동","paju_provincial_district_2","경기도의원 파주시제2선거구","시·도의회의원선거","파주시제2선거구","손희정","100155476","더불어민주당","1","정당인","숭실대학교 대학원 회계학과 졸업(경영학박사)","선거공보","unavailable_official_source","candidate-doc:100155476:1","","","","선거공보||||||0||HEIGHT||Y||||00","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo; OpenCrab document node audit found no corresponding document node."
